Fold,Epoch,Loss,Accuracy,Precision,Recall,F1 Score
4,15,0.3270172231963703,0.8693,0.8693,0.8693,0.8693
4,16,0.34170176550036385,0.8696,0.8702,0.8696,0.8695
4,17,0.3460858091711998,0.8691,0.8695,0.8691,0.8690
4,18,0.3428904724026483,0.8686,0.8690,0.8686,0.8685
4,19,0.33763226630195736,0.8656,0.8685,0.8656,0.8653
4,20,0.3235117519895236,0.8740,0.8743,0.8740,0.8740
4,21,0.3287736003597577,0.8750,0.8757,0.8750,0.8750
4,22,0.3353495843826778,0.8720,0.8725,0.8720,0.8720
4,23,0.3582215415579932,0.8818,0.8823,0.8818,0.8817
4,24,0.34404860496047945,0.8780,0.8781,0.8780,0.8780
4,25,0.31984756271990517,0.8798,0.8804,0.8798,0.8797
4,26,0.31661647948480787,0.8750,0.8752,0.8750,0.8750
4,27,0.330383951583552,0.8805,0.8812,0.8805,0.8805
4,28,0.3113113020265859,0.8770,0.8782,0.8770,0.8769
4,29,0.3323724404095657,0.8725,0.8752,0.8725,0.8723
4,30,0.3187226941661229,0.8723,0.8733,0.8723,0.8722
4,31,0.32260808206739877,0.8902,0.8902,0.8902,0.8902
4,32,0.3163803615976894,0.8925,0.8927,0.8925,0.8924
4,33,0.32214389173757463,0.8800,0.8822,0.8800,0.8798
4,34,0.32242850498074577,0.8790,0.8800,0.8790,0.8790
4,35,0.3042369923066525,0.8835,0.8835,0.8835,0.8835
4,36,0.32445725331467296,0.8823,0.8823,0.8823,0.8822
4,37,0.327529438549564,0.8895,0.8900,0.8895,0.8894
4,38,0.3042806021514393,0.8897,0.8897,0.8897,0.8897
4,39,0.2944209460937788,0.8997,0.8997,0.8997,0.8997
4,40,0.29301776524100986,0.8837,0.8848,0.8837,0.8837
5,1,0.3403448312883339,0.8696,0.8715,0.8696,0.8694
5,2,0.3253735437516182,0.8770,0.8770,0.8770,0.8770
5,3,0.3112441412513218,0.8835,0.8837,0.8835,0.8835
5,4,0.30113842208234093,0.8880,0.8885,0.8880,0.8879
5,5,0.3128499376868445,0.8925,0.8930,0.8925,0.8924
5,6,0.3082910112681843,0.8947,0.8949,0.8947,0.8947
5,7,0.31280691283089773,0.9012,0.9023,0.9012,0.9011
5,8,0.316241560710801,0.8887,0.8898,0.8887,0.8887
5,9,0.3075646670564773,0.8994,0.8994,0.8994,0.8994
5,10,0.3092828971289453,0.8927,0.8945,0.8927,0.8926
